"ha_winner","ht_ls_rank","ht_days_ls_match","ht_points","ht_l_points","ht_l_wavg_points","ht_goals","ht_l_goals","ht_l_wavg_goals","ht_goals_sf","ht_l_goals_sf","ht_l_wavg_goals_sf","ht_wins","ht_draws","ht_losses","ht_win_streak","ht_loss_streak","ht_draw_streak","at_rank","at_ls_rank","at_days_ls_match","at_points","at_l_points","at_l_wavg_points","at_goals","at_l_goals","at_l_wavg_goals","at_goals_sf","at_l_goals_sf","at_l_wavg_goals_sf","at_wins","at_draws","at_losses","at_win_streak","at_loss_streak","at_draw_streak","ls_winner","ht_ATT","ht_MID","ht_DEF","ht_OVR","at_ATT","at_MID","at_DEF","at_OVR"
"0",8,4,58,3,2.857877407,53,17.66666667,2.298374866,39,17.33333333,0.6914714086,17,7,13,4,0,0,16,15,5,41,1.333333333,1.969897013,40,13.33333333,2.012386159,44,13.33333333,1.541537411,9,14,14,1,0,0,"0",83,79,79,80,75,76,76,75
"0",17,4,52,1.333333333,1.741195416,53,17.66666667,1.674424493,45,17.33333333,1.528030224,15,7,15,1,0,0,4,4,5,67,2,2.202376819,57,19,1.448091628,34,14.66666667,0.9025022625,19,10,8,1,0,0,"2",77,77,77,77,82,84,82,82
"1",NA,5,28,0.3333333333,0.5349640824,27,9,0.7941983616,51,14.66666667,1.709559303,5,13,19,0,0,1,12,13,4,42,2,1.98229236,44,14.66666667,1.85303148,62,17,1.460800409,11,9,17,1,0,0,"2",74,75,74,75,77,75,74,76
"0",NA,5,56,3,2.714297517,59,19.66666667,2.41845101,53,18,0.2807245239,17,5,15,3,0,0,19,NA,4,26,0,0.1308089908,34,11.33333333,1.043309387,73,19.33333333,2.557325047,5,11,21,0,3,0,"0",78,76,75,76,NA,NA,NA,NA
"1",5,5,66,1,0.9630423909,66,22,1.450427718,46,20,1.877408109,20,6,11,0,1,0,7,6,4,59,1,1.059254102,64,21.33333333,1.492041058,43,16.33333333,1.47142394,17,8,12,0,1,0,"0",80,81,79,80,89,82,81,82
"0",1,4,66,3,2.901159009,66,22,2.701786694,42,19.66666667,0.5567309172,19,9,9,4,0,0,14,14,4,44,1,0.9484356157,41,13.66666667,1.530564633,64,17.66666667,2.50821412,12,8,17,0,1,0,"0",86,83,80,85,77,75,75,76
"0",2,5,83,1,1.075195264,78,26,2.368166748,32,19,2.569168227,26,5,6,0,1,0,10,12,4,59,1.333333333,1.874350755,47,15.66666667,0.6284812392,43,17,0.3331621484,17,8,12,1,0,0,"0",85,86,83,85,81,79,80,79
"0",9,4,20,1,0.845274985,19,6.333333333,0.2857161848,63,11.66666667,1.059482198,6,2,29,0,1,0,17,10,4,39,1,0.4763732101,33,11,0.4742958071,54,15.33333333,2.703717097,10,9,18,0,2,0,"1",71,74,73,73,75,76,77,76
"0",16,4,62,1.333333333,1.976721739,59,19.66666667,1.948983986,47,17.33333333,1.046556962,18,8,11,1,0,0,15,11,5,43,2,1.169496521,47,15.66666667,1.18860112,65,14.66666667,1.603397481,12,7,18,0,1,0,"2",79,79,77,78,77,77,76,76
"1",7,4,45,1,0.5096633289,35,11.66666667,0.3447635281,50,12.66666667,1.328462682,12,9,16,0,2,0,2,3,5,71,0.3333333333,0.8108233054,71,23.66666667,1.395196442,43,20.33333333,1.8401284,20,11,6,0,0,1,"1",77,81,78,79,83,82,82,82
"1",10,4,39,1,0.9527464203,33,11,0.9485916143,51,14.33333333,2.407434194,10,9,17,0,1,0,3,1,3,63,3,2.802318017,63,21,2.403573388,42,18.66666667,1.113461834,18,9,9,3,0,0,"0",75,76,77,76,86,83,80,85
"1",NA,3,26,0.3333333333,0.2616179817,33,11,1.086618774,70,18.33333333,2.114650094,5,11,20,0,2,0,6,16,4,59,1.333333333,0.9534434782,56,18.66666667,0.8979679727,46,16.33333333,1.093113925,17,8,11,0,0,1,"1",NA,NA,NA,NA,79,79,77,78
"1",14,3,44,2,1.896871231,40,13.33333333,2.061129266,61,16.66666667,2.016428241,12,8,16,1,0,0,8,8,7,55,3,2.715754814,50,16.66666667,1.596749732,38,16.33333333,0.3829428173,16,7,13,3,0,0,"2",77,75,75,76,83,79,79,80
