Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
3,Arsenal,38,24,11,3,74,31,43,83,2.18,"60,070",Emmanuel Adebayor - 24,Manuel Almunia,27,24.6,,38,418,,,73,57,68,5,6,57,3,1.92,1.5,3.42,1.79,3.29,3,38,38,"3,420",,31,0.82,155,124,80,24,11,3,15,39.5,,,,,,27,,73,,250,,,6.58,,0.27,,5,6
6,Aston Villa,38,16,12,10,71,51,20,60,1.58,"40,345",John Carew - 13,Scott Carson,22,25.5,,38,418,,,66,42,60,6,7,56,4,1.74,1.11,2.84,1.58,2.68,2,38,38,"3,420",,51,1.34,170,119,70,16,12,10,9,23.7,,,,,,22,,66,,200,,,5.26,,0.3,,6,7
19,Birmingham City,38,8,11,19,46,62,-16,35,0.92,"26,181",Mikael Forssell - 9,Maik Taylor,28,25.3,,38,418,,,44,21,38,6,6,68,3,1.16,0.55,1.71,1,1.55,3,38,38,"3,420",,62,1.63,266,204,76.7,8,11,19,3,7.9,,,,,,28,,44,,178,,,4.68,,0.21,,6,6
7,Blackburn,38,15,13,10,50,48,2,58,1.53,"23,944",Roque Santa Cruz - 19,Brad Friedel,22,28,,38,418,,,50,32,45,5,6,74,6,1.32,0.84,2.16,1.18,2.03,1,38,38,"3,420",,48,1.26,201,153,76.1,15,13,10,8,21.1,,,,,,22,,50,,219,,,5.76,,0.21,,5,6
16,Bolton,38,9,10,19,36,54,-18,37,0.97,"20,746",Nicolas Anelka - 10,Jussi Jääskeläinen,31,27.5,,38,417,,,34,22,34,0,1,76,0,0.89,0.58,1.47,0.89,1.47,2,38,38,"3,420",,54,1.42,207,153,73.9,9,10,19,12,31.6,,,,,,31,,34,,162,,,4.26,,0.21,,0,1
2,Chelsea,38,25,10,3,65,26,39,85,2.24,"41,397",Frank Lampard - 10,Petr Čech,26,27.1,,38,417,,,64,52,57,7,7,65,5,1.68,1.37,3.05,1.5,2.87,3,38,38,"3,420",,26,0.68,142,116,81.7,25,10,3,21,55.3,,,,,,26,,64,,207,,,5.45,,0.28,,7,7
20,Derby County,38,1,8,29,20,89,-69,11,0.29,"32,432",Kenny Miller - 4,Stephen Bywater,36,27.6,,38,418,,,19,12,19,0,0,63,1,0.5,0.32,0.82,0.5,0.82,3,38,38,"3,420",,89,2.34,263,174,66.2,1,8,29,3,7.9,,,,,,36,,19,,141,,,3.71,,0.13,,0,0
5,Everton,38,19,8,11,55,33,22,65,1.71,"36,955",Yakubu Aiyegbeni - 15,Tim Howard,23,26.9,,38,420,,,53,30,52,1,1,40,3,1.39,0.79,2.18,1.37,2.16,2,38,38,"3,420",,33,0.87,176,143,81.3,19,8,11,14,36.8,,,,,,23,,53,,190,,,5,,0.27,,1,1
17,Fulham,38,8,12,18,38,60,-22,36,0.95,"23,773",Clint Dempsey - 6,Antti Niemi,33,28,,38,418,,,37,17,35,2,3,60,6,0.97,0.45,1.42,0.92,1.37,3,38,38,"3,420",,60,1.58,230,170,73.9,8,12,18,7,18.4,,,,,,33,,37,,174,,,4.58,,0.2,,2,3
4,Liverpool,38,21,13,4,67,28,39,76,2,"43,532",Fernando Torres - 24,Pepe Reina,25,26.2,,38,418,,,64,43,59,5,5,46,1,1.68,1.13,2.82,1.55,2.68,1,38,38,"3,420",,28,0.74,138,110,79.7,21,13,4,18,47.4,,,,,,25,,64,,266,,,7,,0.22,,5,5
