Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
4,Arsenal,38,24,7,7,68,41,27,79,2.08,"60,013",27,26.8,,38,418,,,68,48,65,3,3,0,0,1.79,1.26,3.05,1.71,2.97,1,38,38,"3,330",,41,1.11,147,106,72.1,24,7,7,17,44.7,27,,68,,254,,,6.68,,0.26,,3,3
15,Aston Villa,38,10,8,20,39,61,-22,38,1,"36,081",26,24.6,,38,418,,,38,25,36,2,4,0,0,1,0.66,1.66,0.95,1.61,1,38,38,"3,420",,61,1.61,174,113,64.9,10,8,20,9,23.7,26,,38,,136,,,3.58,,0.26,,2,4
20,Cardiff City,38,7,9,22,32,74,-42,30,0.79,"27,430",32,25.4,,38,418,,,31,24,30,1,1,0,0,0.82,0.63,1.45,0.79,1.42,2,38,38,"3,420",,74,1.95,220,146,66.4,7,9,22,7,18.4,32,,31,,125,,,3.29,,0.24,,1,1
3,Chelsea,38,25,7,6,71,27,44,82,2.16,"41,482",29,27.7,,38,418,,,69,39,64,5,7,0,0,1.82,1.03,2.84,1.68,2.71,2,38,38,"3,420",,27,0.71,121,94,77.7,25,7,6,18,47.4,29,,69,,281,,,7.39,,0.23,,5,7
11,Crystal Palace,38,13,6,19,33,48,-15,45,1.18,"24,375",31,28.1,,38,418,,,32,21,27,5,6,0,0,0.84,0.55,1.39,0.71,1.26,2,38,38,"3,420",,48,1.26,169,121,71.6,13,6,19,12,31.6,31,,32,,142,,,3.74,,0.19,,5,6
5,Everton,38,21,9,8,61,39,22,72,1.89,"37,732",28,27.6,,38,418,,,58,42,55,3,3,0,0,1.53,1.11,2.63,1.45,2.55,2,38,38,"3,420",,39,1.03,148,109,73.6,21,9,8,15,39.5,28,,58,,235,,,6.18,,0.23,,3,3
19,Fulham,38,9,5,24,40,85,-45,32,0.84,"24,977",39,29,,38,418,,,38,28,36,2,3,0,0,1,0.74,1.74,0.95,1.68,2,38,38,"3,420",,85,2.24,241,156,64.7,9,5,24,5,13.2,39,,38,,149,,,3.92,,0.24,,2,3
16,Hull City,38,10,7,21,38,53,-15,37,0.97,"24,117",27,27.5,,38,418,,,35,21,33,2,3,0,0,0.92,0.55,1.47,0.87,1.42,3,38,38,"3,419",,53,1.4,164,111,67.7,10,7,21,10,26.3,27,,35,,129,,,3.39,,0.26,,2,3
2,Liverpool,38,26,6,6,101,50,51,84,2.21,"44,671",25,25.7,,38,418,,,97,61,87,10,12,0,0,2.55,1.61,4.16,2.29,3.89,1,38,38,"3,420",,50,1.32,152,102,67.1,26,6,6,10,26.3,25,,97,,300,,,7.89,,0.29,,10,12
1,Manchester City,38,27,5,6,102,37,65,86,2.26,"47,075",23,27.7,,38,418,,,97,63,91,6,7,0,0,2.55,1.66,4.21,2.39,4.05,2,38,38,"3,420",,37,0.97,126,89,70.6,27,5,6,16,42.1,23,,97,,239,,,6.29,,0.38,,6,7
7,Manchester Utd,38,19,7,12,64,43,21,64,1.68,"75,207",30,26.7,,38,418,,,63,37,58,5,5,0,0,1.66,0.97,2.63,1.53,2.5,2,38,38,"3,420",,43,1.13,143,100,69.9,19,7,12,13,34.2,30,,63,,234,,,6.16,,0.25,,5,5
10,Newcastle Utd,38,15,4,19,43,59,-16,49,1.29,"50,395",26,26.4,,38,418,,,41,25,39,2,3,0,0,1.08,0.66,1.74,1.03,1.68,2,38,38,"3,420",,59,1.55,170,111,65.3,15,4,19,10,26.3,26,,41,,185,,,4.87,,0.21,,2,3
18,Norwich City,38,8,9,21,28,62,-34,33,0.87,"26,805",25,26.3,,38,418,,,28,18,27,1,2,0,0,0.74,0.47,1.21,0.71,1.18,1,38,38,"3,420",,62,1.63,189,127,67.2,8,9,21,12,31.6,25,,28,,145,,,3.82,,0.19,,1,2
8,Southampton,38,15,11,12,54,46,8,56,1.47,"30,212",24,25.1,,38,418,,,52,37,49,3,3,0,0,1.37,0.97,2.34,1.29,2.26,3,38,38,"3,420",,46,1.21,132,86,65.2,15,11,12,15,39.5,24,,52,,181,,,4.76,,0.27,,3,3
9,Stoke City,38,13,11,14,45,52,-7,50,1.32,"26,137",26,27.3,,38,418,,,44,26,40,4,5,0,0,1.16,0.68,1.84,1.05,1.74,3,38,38,"3,420",,52,1.37,173,121,69.9,13,11,14,9,23.7,26,,44,,142,,,3.74,,0.28,,4,5
14,Sunderland,38,10,8,20,41,60,-19,38,1,"41,090",31,26.5,,38,418,,,41,24,35,6,6,0,0,1.08,0.63,1.71,0.92,1.55,2,38,38,"3,420",,60,1.58,217,157,72.4,10,8,20,11,28.9,31,,41,,135,,,3.55,,0.26,,6,6
12,Swansea City,38,11,9,18,54,54,0,42,1.11,"20,407",27,26.5,,38,418,,,47,37,43,4,4,0,0,1.24,0.97,2.21,1.13,2.11,2,38,38,"3,420",,54,1.42,155,101,65.2,11,9,18,8,21.1,27,,47,,163,,,4.29,,0.26,,4,4
6,Tottenham,38,21,6,11,55,51,4,69,1.82,"35,808",28,25.2,,38,418,,,50,33,45,5,6,0,0,1.32,0.87,2.18,1.18,2.05,2,38,38,"3,420",,51,1.34,152,101,66.4,21,6,11,14,36.8,28,,50,,228,,,6,,0.2,,5,6
17,West Brom,38,7,15,16,43,59,-16,36,0.95,"25,194",28,28.4,,38,418,,,41,27,39,2,2,0,0,1.08,0.71,1.79,1.03,1.74,3,38,38,"3,420",,59,1.55,174,115,66.1,7,15,16,7,18.4,28,,41,,145,,,3.82,,0.27,,2,2
13,West Ham,38,11,7,20,40,51,-11,40,1.05,"34,197",29,28.5,,38,418,,,36,22,34,2,2,0,0,0.95,0.58,1.53,0.89,1.47,2,38,38,"3,420",,51,1.34,193,142,73.6,11,7,20,14,36.8,29,,36,,123,,,3.24,,0.28,,2,2
