Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
3,Arsenal,38,22,9,7,71,36,35,75,1.97,"59,992",29,26.1,56.6,38,418,"3,420",38,69,47,63,6,7,0,0,1.82,1.24,3.05,1.66,2.89,3,38,38,"3,420",38,36,0.95,128,92,71.9,22,9,7,13,34.2,29,38,69,,226,,,5.95,,0.28,,6,7
17,Aston Villa,38,10,8,20,31,57,-26,38,1,"34,133",27,26.3,49,38,418,"3,420",38,31,23,30,1,1,0,0,0.82,0.61,1.42,0.79,1.39,3,38,38,"3,420",38,57,1.5,168,111,66.1,10,8,20,10,26.3,27,38,31,,127,,,3.34,,0.24,,1,1
19,Burnley,38,7,12,19,28,53,-25,33,0.87,"19,131",24,27.2,42.5,38,418,"3,420",38,27,22,26,1,2,0,0,0.71,0.58,1.29,0.68,1.26,1,38,38,"3,420",38,53,1.39,178,125,70.2,7,12,19,10,26.3,24,38,27,,124,,,3.26,,0.21,,1,2
1,Chelsea,38,26,9,3,73,32,41,87,2.29,"41,546",25,27,55.9,38,418,"3,420",38,72,59,68,4,5,0,0,1.89,1.55,3.45,1.79,3.34,2,38,38,"3,420",38,32,0.84,121,89,73.6,26,9,3,17,44.7,25,38,72,,209,,,5.5,,0.33,,4,5
10,Crystal Palace,38,13,9,16,47,51,-4,48,1.26,"24,421",30,27.8,40.4,38,418,"3,420",38,46,27,41,5,7,0,0,1.21,0.71,1.92,1.08,1.79,2,38,38,"3,420",38,51,1.34,144,93,64.6,13,9,16,7,18.4,30,38,46,,139,,,3.66,,0.29,,5,7
11,Everton,38,12,11,15,48,50,-2,47,1.24,"37,406",28,27.9,54.7,38,418,"3,420",38,47,31,43,4,7,0,0,1.24,0.82,2.05,1.13,1.95,2,38,38,"3,420",38,50,1.32,128,78,60.9,12,11,15,10,26.3,28,38,47,,167,,,4.39,,0.26,,4,7
18,Hull City,38,8,11,19,33,51,-18,35,0.92,"23,557",29,27.4,44.2,38,418,"3,420",38,32,22,31,1,1,0,0,0.84,0.58,1.42,0.82,1.39,3,38,38,"3,420",38,51,1.34,153,102,66.7,8,11,19,10,26.3,29,38,32,,131,,,3.45,,0.24,,1,1
14,Leicester City,38,11,8,19,46,55,-9,41,1.08,"31,693",28,27.9,43.5,38,418,"3,420",38,45,29,42,3,3,0,0,1.18,0.76,1.95,1.11,1.87,3,38,38,"3,420",38,55,1.45,172,117,68,11,8,19,10,26.3,28,38,45,,137,,,3.61,,0.31,,3,3
6,Liverpool,38,18,8,12,52,48,4,62,1.63,"44,659",25,25.2,55.8,38,418,"3,420",38,48,30,43,5,6,0,0,1.26,0.79,2.05,1.13,1.92,2,38,38,"3,420",38,48,1.26,139,91,65.5,18,8,12,14,36.8,25,38,48,,193,,,5.08,,0.22,,5,6
2,Manchester City,38,24,7,7,83,38,45,79,2.08,"45,365",24,28.6,59.8,38,418,"3,420",38,82,61,75,7,8,0,0,2.16,1.61,3.76,1.97,3.58,2,38,38,"3,420",38,38,1,128,90,70.3,24,7,7,14,36.8,24,38,82,,228,,,6,,0.33,,7,8
4,Manchester Utd,38,20,10,8,62,37,25,70,1.84,"75,335",33,26,61.2,38,418,"3,420",38,60,41,57,3,5,0,0,1.58,1.08,2.66,1.5,2.58,2,38,38,"3,420",38,37,0.97,134,97,72.4,20,10,8,11,28.9,33,38,60,,177,,,4.66,,0.32,,3,5
15,Newcastle Utd,38,10,9,19,40,63,-23,39,1.03,"50,359",27,25.9,47.7,38,418,"3,420",38,40,30,39,1,1,0,0,1.05,0.79,1.84,1.03,1.82,3,38,38,"3,420",38,63,1.66,161,98,60.9,10,9,19,8,21.1,27,38,40,,140,,,3.68,,0.28,,1,1
20,QPR,38,8,6,24,42,73,-31,30,0.79,"17,809",32,28.2,45.2,38,418,"3,420",38,39,29,36,3,5,0,0,1.03,0.76,1.79,0.95,1.71,2,38,38,"3,420",38,73,1.92,209,136,65.1,8,6,24,6,15.8,32,38,39,,149,,,3.92,,0.24,,3,5
7,Southampton,38,18,6,14,54,33,21,60,1.58,"30,741",29,26,53.1,38,418,"3,420",38,49,32,47,2,3,0,0,1.29,0.84,2.13,1.24,2.08,3,38,38,"3,420",38,33,0.87,109,76,69.7,18,6,14,15,39.5,29,38,49,,167,,,4.39,,0.28,,2,3
9,Stoke City,38,15,9,14,48,45,3,54,1.42,"27,081",25,27.4,50.4,38,418,"3,420",38,47,30,44,3,3,0,0,1.24,0.79,2.03,1.16,1.95,2,38,38,"3,420",38,45,1.18,139,94,67.6,15,9,14,9,23.7,25,38,47,,136,,,3.58,,0.32,,3,3
16,Sunderland,38,7,17,14,31,53,-22,38,1,"43,157",25,27.8,45.2,38,417,"3,420",38,30,20,26,4,4,0,0,0.79,0.53,1.32,0.68,1.21,2,38,38,"3,420",38,53,1.39,191,138,72.3,7,17,14,13,34.2,25,38,30,,129,,,3.39,,0.2,,4,4
8,Swansea City,38,16,8,14,46,49,-3,56,1.47,"20,555",27,26.6,50.1,38,418,"3,420",38,43,34,41,2,2,0,0,1.13,0.89,2.03,1.08,1.97,2,38,38,"3,420",38,49,1.29,188,139,73.9,16,8,14,13,34.2,27,38,43,,146,,,3.84,,0.28,,2,2
5,Tottenham,38,19,7,12,58,53,5,64,1.68,"35,728",27,24.4,57,38,418,"3,420",38,56,40,53,3,5,0,0,1.47,1.05,2.53,1.39,2.45,2,38,38,"3,420",38,53,1.39,170,117,68.8,19,7,12,9,23.7,27,38,56,,171,,,4.5,,0.31,,3,5
13,West Brom,38,11,11,16,38,51,-13,44,1.16,"25,064",26,28,43.7,38,418,"3,420",38,37,29,33,4,5,0,0,0.97,0.76,1.74,0.87,1.63,2,38,38,"3,420",38,51,1.34,182,131,72,11,11,16,16,42.1,26,38,37,,132,,,3.47,,0.25,,4,5
12,West Ham,38,12,11,15,44,47,-3,47,1.24,"34,846",28,26.8,45.6,38,418,"3,420",38,43,34,42,1,2,0,0,1.13,0.89,2.03,1.11,2,2,38,38,"3,420",38,47,1.24,174,127,73,12,11,15,9,23.7,28,38,43,,153,,,4.03,,0.27,,1,2
