Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
5,Arsenal,38,23,6,9,77,44,33,75,1.97,"59,957",29,26.9,58.9,38,418,"3,420",38,73,55,69,4,6,0,0,1.92,1.45,3.37,1.82,3.26,3,38,38,"3,420",38,44,1.16,167,123,79.6,23,6,9,13,34.2,10,10,0,0,0,29,38,73,568,201,35.4,14.95,5.29,0.12,0.34,,4,6
9,Bournemouth,38,12,10,16,55,67,-12,46,1.21,"11,182",27,27,51.5,38,418,"3,420",38,53,33,46,7,10,0,2,1.39,0.87,2.26,1.21,2.08,3,38,38,"3,420",38,67,1.76,189,122,65.6,12,10,16,10,26.3,5,2,2,1,50,27,38,53,452,160,35.4,11.89,4.21,0.1,0.29,,7,10
16,Burnley,38,11,7,20,39,55,-16,40,1.05,"20,558",27,27.7,40.3,38,418,"3,420",38,39,24,33,6,6,0,1,1.03,0.63,1.66,0.87,1.5,2,38,38,"3,420",38,55,1.45,208,153,75.5,11,7,20,10,26.3,5,4,1,0,20,27,38,39,388,121,31.2,10.21,3.18,0.09,0.27,,6,6
1,Chelsea,38,30,3,5,85,33,52,93,2.45,"41,508",24,27.2,55.1,38,418,"3,420",38,83,53,81,2,4,0,0,2.18,1.39,3.58,2.13,3.53,2,38,38,"3,420",38,33,0.87,105,72,70.5,30,3,5,16,42.1,2,2,0,0,0,24,38,83,582,205,35.2,15.32,5.39,0.14,0.4,,2,4
14,Crystal Palace,38,12,5,21,50,63,-13,41,1.08,"25,161",31,27.7,45.4,38,418,"3,420",38,48,32,44,4,7,0,0,1.26,0.84,2.11,1.16,2,2,38,38,"3,420",38,63,1.66,176,113,65.3,12,5,21,7,18.4,2,2,0,0,0,31,38,48,441,137,31.1,11.61,3.61,0.1,0.32,,4,7
7,Everton,38,17,10,11,62,44,18,61,1.61,"39,047",27,27.5,52.1,38,418,"3,420",38,58,45,55,3,4,0,1,1.53,1.18,2.71,1.45,2.63,2,38,38,"3,420",38,44,1.16,148,104,72.3,17,10,11,13,34.2,5,3,1,1,25,27,38,58,500,192,38.4,13.16,5.05,0.11,0.29,,3,4
18,Hull City,38,9,7,22,37,80,-43,34,0.89,"20,761",28,27.4,45.9,38,418,"3,420",38,36,24,33,3,3,0,0,0.95,0.63,1.58,0.87,1.5,2,38,38,"3,420",38,80,2.11,214,134,67.8,9,7,22,5,13.2,14,11,2,1,15.4,28,38,36,396,126,31.8,10.42,3.32,0.08,0.26,,3,3
12,Leicester City,38,12,8,18,48,63,-15,44,1.16,"31,893",25,27.8,41.9,38,418,"3,420",38,46,32,42,4,6,0,0,1.21,0.84,2.05,1.11,1.95,2,38,38,"3,420",38,63,1.66,190,127,68.4,12,8,18,9,23.7,3,3,0,0,0,25,38,46,435,145,33.3,11.45,3.82,0.1,0.29,,4,6
4,Liverpool,38,22,10,6,78,42,36,76,2,"53,016",23,26.1,62,38,418,"3,420",38,77,52,70,7,8,0,0,2.03,1.37,3.39,1.84,3.21,2,38,38,"3,420",38,42,1.11,114,72,65.8,22,10,6,12,31.6,5,3,2,0,40,23,38,77,639,236,36.9,16.82,6.21,0.11,0.3,,7,8
3,Manchester City,38,23,9,6,80,39,41,78,2.05,"54,019",25,28.5,65,38,418,"3,420",38,75,54,68,7,9,0,0,1.97,1.42,3.39,1.79,3.21,2,38,38,"3,420",38,39,1.03,105,66,64.8,23,9,6,12,31.6,5,2,1,2,33.3,25,38,75,633,215,34,16.66,5.66,0.11,0.32,,7,9
6,Manchester Utd,38,18,15,5,54,29,25,69,1.82,"75,290",31,26.7,56.5,38,418,"3,420",38,54,37,51,3,4,0,1,1.42,0.97,2.39,1.34,2.32,3,38,38,"3,420",38,29,0.76,116,87,78.4,18,15,5,17,44.7,5,4,1,0,20,31,38,54,589,207,35.1,15.5,5.45,0.09,0.25,,3,4
19,Middlesbrough,38,5,13,20,27,53,-26,28,0.74,"30,449",27,27.3,47.3,38,418,"3,420",38,26,22,24,2,2,0,1,0.68,0.58,1.26,0.63,1.21,2,38,38,"3,420",38,53,1.39,171,118,71.3,5,13,20,11,28.9,5,4,0,1,0,27,38,26,349,98,28.1,9.18,2.58,0.07,0.24,,2,2
8,Southampton,38,12,10,16,41,48,-7,46,1.21,"30,936",26,26,54.4,38,418,"3,420",38,39,27,36,3,6,0,1,1.03,0.71,1.74,0.95,1.66,1,38,38,"3,420",38,48,1.26,130,82,67.7,12,10,16,14,36.8,9,6,1,2,14.3,26,38,39,549,179,32.6,14.45,4.71,0.07,0.2,,3,6
13,Stoke City,38,11,11,16,41,56,-15,44,1.16,"27,433",26,28.7,46.3,38,418,"3,420",38,37,24,33,4,6,0,1,0.97,0.63,1.61,0.87,1.5,3,38,38,"3,420",38,56,1.47,180,124,69.4,11,11,16,11,28.9,2,1,1,0,50,26,38,37,426,135,31.7,11.21,3.55,0.08,0.24,,4,6
20,Sunderland,38,6,6,26,29,69,-40,24,0.63,"41,287",31,26.8,39.7,38,418,"3,420",38,28,11,23,5,5,0,3,0.74,0.29,1.03,0.61,0.89,2,38,38,"3,420",38,69,1.82,248,179,73.8,6,6,26,6,15.8,4,4,0,0,0,31,38,28,388,122,31.4,10.21,3.21,0.06,0.19,,5,5
15,Swansea City,38,12,5,21,45,70,-25,41,1.08,"20,619",27,27.4,47.9,38,418,"3,420",38,45,31,42,3,3,0,0,1.18,0.82,2,1.11,1.92,2,38,38,"3,420",38,70,1.84,179,109,64.2,12,5,21,8,21.1,8,6,1,1,14.3,27,38,45,403,145,36,10.61,3.82,0.1,0.29,,3,3
2,Tottenham,38,26,8,4,86,26,60,86,2.26,"31,639",24,25.3,60.5,38,418,"3,420",38,84,59,77,7,9,0,0,2.21,1.55,3.76,2.03,3.58,2,38,38,"3,420",38,26,0.68,110,84,78.2,26,8,4,17,44.7,2,2,0,0,0,24,38,84,670,257,38.4,17.63,6.76,0.11,0.3,,7,9
17,Watford,38,11,7,20,40,68,-28,40,1.05,"20,571",33,29,46.1,38,418,"3,420",38,39,27,36,3,3,0,3,1.03,0.71,1.74,0.95,1.66,2,38,38,"3,420",38,68,1.79,187,119,65.2,11,7,20,7,18.4,4,3,1,0,25,33,38,39,424,143,33.7,11.16,3.76,0.08,0.25,,3,3
10,West Brom,38,12,9,17,43,51,-8,45,1.18,"23,876",23,29.4,37.3,38,418,"3,420",38,43,33,42,1,1,0,0,1.13,0.87,2,1.11,1.97,1,38,38,"3,420",38,51,1.34,160,109,70,12,9,17,6,15.8,3,3,0,0,0,23,38,43,399,124,31.1,10.5,3.26,0.11,0.34,,1,1
11,West Ham,38,12,9,17,47,64,-17,45,1.18,"56,972",29,27.1,47.1,38,418,"3,420",38,46,28,43,3,4,0,4,1.21,0.74,1.95,1.13,1.87,2,38,38,"3,420",38,64,1.68,182,118,67.6,12,9,17,10,26.3,8,5,1,2,16.7,29,38,46,498,136,27.3,13.11,3.58,0.09,0.32,,3,4
