Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
6,Arsenal,38,19,6,13,74,51,23,63,1.66,68.4,50.5,17.9,0.47,"59,323",30,26.8,61.5,38,418,"3,420",38,73,61,69,4,5,,,1.92,1.61,3.53,1.82,3.42,2,38,38,"3,420",38,51,1.34,142,94,67.6,19,6,13,13,34.2,6,5,1,0,16.7,30,38,73,590,227,38.5,15.53,5.97,0.12,0.3,17.4,4,5,68.4,64.6,0.11,4.6,4.4
12,Bournemouth,38,11,11,16,45,61,-16,44,1.16,44.8,61.4,-16.6,-0.44,"10,641",22,26.9,47.8,38,418,"3,420",38,45,36,42,3,3,,,1.18,0.95,2.13,1.11,2.05,1,38,38,"3,420",38,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,22,38,45,473,153,32.3,12.45,4.03,0.09,0.27,17.5,3,3,44.8,42.5,0.09,0.2,-0.5
15,Brighton,38,9,13,16,34,54,-20,40,1.05,37.2,52.6,-15.5,-0.41,"30,403",24,27.5,43.7,38,418,"3,420",38,33,25,28,5,7,,,0.87,0.66,1.53,0.74,1.39,1,38,38,"3,420",38,54,1.42,171,121,69,9,13,16,10,26.3,3,1,2,0,66.7,24,38,33,381,113,29.7,10.03,2.97,0.07,0.25,17.9,5,7,37.2,31.8,0.09,-4.2,-3.8
7,Burnley,38,14,12,12,36,39,-3,54,1.42,34.5,51.8,-17.2,-0.45,"20,688",24,27.5,43.9,38,418,"3,420",38,35,26,35,0,0,,,0.92,0.68,1.61,0.92,1.61,2,38,38,"3,420",38,39,1.03,160,123,77.5,14,12,12,12,31.6,5,3,1,1,25,24,38,35,388,126,32.5,10.21,3.32,0.09,0.28,15.9,0,0,34.5,34.5,0.09,0.5,0.5
5,Chelsea,38,21,7,10,62,38,24,70,1.84,57.9,35.3,22.7,0.6,"41,282",26,26.7,55.4,38,418,"3,420",38,60,42,57,3,3,,,1.58,1.11,2.68,1.5,2.61,2,38,38,"3,420",38,38,1,116,81,69,21,7,10,16,42.1,2,2,0,0,0,26,38,60,602,209,34.7,15.84,5.5,0.09,0.27,17.4,3,3,57.9,55.7,0.09,2.1,1.3
11,Crystal Palace,38,11,11,16,45,55,-10,44,1.16,56.1,50.6,5.5,0.14,"25,063",28,27.1,45.3,38,418,"3,420",38,44,26,36,8,10,,,1.16,0.68,1.84,0.95,1.63,2,38,38,"3,420",38,55,1.45,167,116,68.3,11,11,16,9,23.7,2,2,0,0,0,28,38,44,466,133,28.5,12.26,3.5,0.08,0.27,17,8,10,56.1,48.9,0.11,-12.1,-12.9
8,Everton,38,13,10,15,44,58,-14,49,1.29,41.4,52.2,-10.8,-0.28,"38,797",30,26.7,45.9,38,418,"3,420",38,42,26,37,5,8,,,1.11,0.68,1.79,0.97,1.66,1,38,38,"3,420",38,58,1.53,175,119,68.6,13,10,15,10,26.3,5,3,1,1,25,30,38,42,359,108,30.1,9.45,2.84,0.1,0.34,16.9,5,8,41.4,35.2,0.1,0.6,1.8
16,Huddersfield,38,9,10,19,28,58,-30,37,0.97,31.7,55.2,-23.5,-0.62,"24,040",25,26.4,45.7,38,418,"3,420",38,25,19,23,2,2,,,0.66,0.5,1.16,0.61,1.11,1,38,38,"3,420",38,57,1.5,153,97,65.4,9,10,19,10,26.3,6,4,2,0,33.3,25,38,25,362,105,29,9.53,2.76,0.06,0.22,18.1,2,2,31.7,30.2,0.09,-6.7,-7.2
9,Leicester City,38,12,11,15,56,60,-4,47,1.24,48.1,49.9,-1.8,-0.05,"31,583",27,27.2,47.9,38,418,"3,420",38,53,38,48,5,6,,,1.39,1,2.39,1.26,2.26,3,38,38,"3,420",38,60,1.58,161,104,64,12,11,15,9,23.7,4,2,2,0,50,27,38,53,418,137,32.8,11,3.61,0.11,0.35,17,5,6,48.1,43.5,0.11,4.9,4.5
4,Liverpool,38,21,12,5,84,38,46,75,1.97,72.8,34,38.8,1.02,"53,049",27,25.6,60.5,38,418,"3,420",38,82,58,80,2,3,,,2.16,1.53,3.68,2.11,3.63,2,38,38,"3,420",38,38,1,96,60,64.6,21,12,5,17,44.7,6,4,2,0,33.3,27,38,82,642,228,35.5,16.89,6,0.12,0.35,17.1,2,3,72.8,70.5,0.11,9.2,9.5
1,Manchester City,38,32,4,2,106,27,79,100,2.63,86.4,22.8,63.6,1.67,"54,070",25,26.4,71.1,38,418,"3,420",38,103,85,97,6,8,,,2.71,2.24,4.95,2.55,4.79,2,38,38,"3,420",38,27,0.71,82,56,67.1,32,4,2,18,47.4,3,0,2,1,100,25,38,103,661,255,38.6,17.39,6.71,0.15,0.38,17.4,6,8,86.4,80.4,0.12,16.6,16.6
2,Manchester Utd,38,25,6,7,68,28,40,81,2.13,60.7,41.7,18.9,0.5,"74,976",27,26.7,54.8,38,418,"3,420",38,67,53,66,1,3,,,1.76,1.39,3.16,1.74,3.13,2,38,38,"3,420",38,28,0.74,143,117,81.1,25,6,7,19,50,1,1,0,0,0,27,38,67,513,176,34.3,13.5,4.63,0.13,0.38,17.6,1,3,60.7,58.2,0.12,6.3,7.8
10,Newcastle Utd,38,12,8,18,39,47,-8,44,1.16,45.3,53.4,-8.1,-0.21,"51,992",27,25.6,41.7,38,418,"3,420",38,38,29,38,0,1,,,1,0.76,1.76,1,1.76,3,38,38,"3,420",38,47,1.24,145,104,70.3,12,8,18,9,23.7,6,4,2,0,33.3,27,38,38,451,152,33.7,11.87,4,0.08,0.25,18.4,0,1,45.3,44.5,0.1,-7.3,-6.5
