"Year","Pts","Attendance","Players.Used","Age","Poss","PK","PKatt","CrdY","CrdR","SoTA","Saves","Save_Pct","CS","CS_Pct","PKatt_A","Sh","SoT","SoT_Pct","Sh_Per_90","SoT_Per_90","G_Per_Sht","G_Per_SoT","Dist","PK_A","Squad.Year","PKsv","PKm","Squad"
2013,79,60013,27,26.8,NA,3,3,0,0,147,106,72.1,17,44.7,3,NA,254,NA,NA,6.68,NA,0.26,NA,3,"Arsenal 2013",NA,NA,"Arsenal"
2017,63,59323,30,26.8,61.5,4,5,NA,NA,142,94,67.6,13,34.2,6,590,227,38.5,15.53,5.97,0.12,0.3,17.4,4,"Arsenal 2017",1,0,"Arsenal"
2018,70,59899,28,26.7,58,4,5,73,2,174,130,74.7,8,21.1,7,465,159,34.2,12.24,4.18,0.14,0.41,16.2,4,"Arsenal 2018",0,0,"Arsenal"
2019,56,47589,29,25.8,54,3,3,88,5,189,143,78.3,10,26.3,8,401,144,35.9,10.55,3.79,0.13,0.37,15.9,3,"Arsenal 2019",1,0,"Arsenal"
2020,61,632,29,25.9,53.8,6,6,49,5,128,94,71.1,12,31.6,3,455,141,31,11.97,3.71,0.1,0.33,16.9,6,"Arsenal 2020",1,0,"Arsenal"
2021,69,59665,27,24.4,53.2,5,8,67,4,141,93,69.5,13,34.2,6,580,185,31.9,15.26,4.87,0.09,0.3,17.3,5,"Arsenal 2021",0,1,"Arsenal"
2013,38,36081,26,24.6,NA,2,4,0,0,174,113,64.9,9,23.7,4,NA,136,NA,NA,3.58,NA,0.26,NA,2,"Aston Villa 2013",NA,NA,"Aston Villa"
2019,35,28505,28,25.7,43.9,1,3,70,1,175,113,64.6,7,18.4,6,453,146,32.2,11.92,3.84,0.09,0.27,16.9,1,"Aston Villa 2019",1,0,"Aston Villa"
2020,55,526,24,25.2,48.1,5,6,71,4,177,135,76.8,15,39.5,6,518,179,34.6,13.63,4.71,0.09,0.26,16.5,5,"Aston Villa 2020",1,0,"Aston Villa"
2021,45,41681,31,26.1,46.5,3,3,81,2,145,96,65.5,11,28.9,6,461,159,34.5,12.13,4.18,0.1,0.3,17.1,3,"Aston Villa 2021",1,1,"Aston Villa"
2017,44,10641,22,26.9,47.8,3,3,NA,NA,171,113,65.5,6,15.8,4,473,153,32.3,12.45,4.03,0.09,0.27,17.5,3,"Bournemouth 2017",1,1,"Bournemouth"
2018,45,10532,28,26.6,46.8,7,9,60,1,169,103,61.5,10,26.3,5,440,155,35.2,11.58,4.08,0.11,0.31,16.4,7,"Bournemouth 2018",0,0,"Bournemouth"
