Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
8,Arsenal,38,18,7,13,55,39,16,61,1.61,53.5,44.3,9.2,0.24,632,29,25.9,53.8,38,418,"3,420",38,53,38,47,6,6,49,5,1.39,1,2.39,1.24,2.24,3,38,38,"3,417",38,39,1.03,128,94,71.1,18,7,13,12,31.6,3,2,1,0,33.3,29,38,53,455,141,31,11.97,3.71,0.1,0.33,16.9,6,6,53.5,49,0.11,-0.5,-2
11,Aston Villa,38,16,7,15,55,46,9,55,1.45,52.9,52.9,0.1,0,526,24,25.2,48.1,38,418,"3,420",38,52,38,47,5,6,71,4,1.37,1,2.37,1.24,2.24,1,38,38,"3,420",38,46,1.21,177,135,76.8,16,7,15,15,39.5,6,5,1,0,16.7,24,38,52,518,179,34.6,13.63,4.71,0.09,0.26,16.5,5,6,52.9,48.5,0.1,-0.9,-1.5
16,Brighton,38,9,14,15,40,46,-6,41,1.08,51.6,37.7,13.9,0.37,523,27,25.8,51.3,38,418,"3,420",38,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.5,2,38,38,"3,420",38,46,1.21,117,79,65.8,9,14,15,12,31.6,7,6,0,1,0,27,38,39,476,129,27.1,12.53,3.39,0.07,0.26,16.6,6,9,51.6,44.8,0.1,-12.6,-11.8
17,Burnley,38,10,9,19,33,55,-22,39,1.03,39.9,57.6,-17.7,-0.47,178,25,28.3,41.7,38,418,"3,420",38,32,20,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,3,38,38,"3,420",38,55,1.45,179,127,70.9,10,9,19,11,28.9,3,3,0,0,0,25,38,32,383,125,32.6,10.08,3.29,0.08,0.23,16.6,3,3,39.9,37.6,0.1,-7.9,-8.6
4,Chelsea,38,19,10,9,58,36,22,67,1.76,64,32.8,31.2,0.82,526,27,26,61.4,38,418,"3,420",38,56,38,48,8,10,51,3,1.47,1,2.47,1.26,2.26,3,38,38,"3,420",38,36,0.95,103,70,68,19,10,9,18,47.4,4,3,1,0,25,27,38,56,553,194,35.1,14.55,5.11,0.09,0.25,16.3,8,10,64,56.4,0.1,-8,-8.4
14,Crystal Palace,38,12,8,18,41,66,-25,44,1.16,32.4,57.5,-25,-0.66,447,24,29.1,40.1,38,418,"3,420",38,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,2,38,38,"3,420",38,66,1.74,173,108,63.6,12,8,18,8,21.1,4,3,1,0,25,24,38,39,346,129,37.3,9.11,3.39,0.1,0.28,16.8,3,4,32.4,29.5,0.09,6.6,6.5
10,Everton,38,17,8,13,47,48,-1,59,1.55,47.1,52,-4.9,-0.13,368,29,26.3,46.5,38,418,"3,420",38,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,3,38,38,"3,420",38,48,1.26,158,111,71.5,17,8,13,12,31.6,4,3,0,1,0,29,38,45,395,144,36.5,10.39,3.79,0.1,0.28,16.4,4,5,47.1,43.4,0.11,-2.1,-2.4
18,Fulham,38,5,13,20,27,53,-26,28,0.74,41.3,52.9,-11.7,-0.31,211,28,25.2,49.9,38,418,"3,420",38,26,18,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,2,38,38,"3,420",38,53,1.39,164,118,72,5,13,20,9,23.7,7,7,0,0,0,28,38,26,440,123,28,11.58,3.24,0.05,0.19,17.4,3,6,41.3,36.8,0.08,-15.3,-13.8
9,Leeds United,38,18,5,15,62,54,8,59,1.55,57.5,62.9,-5.4,-0.14,421,23,26.1,57.6,38,418,"3,420",38,60,45,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,2,38,38,"3,420",38,54,1.42,189,144,75.7,18,5,15,12,31.6,9,8,1,0,11.1,23,38,60,524,196,37.4,13.79,5.16,0.11,0.29,16.2,4,4,57.5,54.5,0.11,2.5,1.5
5,Leicester City,38,20,6,12,68,50,18,66,1.74,56,47.7,8.3,0.22,421,27,26.5,54.6,38,418,"3,420",38,64,45,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,1,38,38,"3,420",38,50,1.32,134,87,65.7,20,6,12,11,28.9,4,4,0,0,0,27,38,64,472,172,36.4,12.42,4.53,0.11,0.31,18,10,12,56,46.9,0.1,8,7.1
