Name,League,ATT,MID,DEF,OVR,Team Rating
Manchester City,Premier League,86,88,82,85,
Tottenham Hotspur,Premier League,86,82,83,83,
Liverpool,Premier League,86,82,82,83,
Chelsea,Premier League,85,83,82,83,
Manchester United,Premier League,83,83,80,82,
Arsenal,Premier League,82,83,80,82,
Everton,Premier League,77,80,79,79,
West Ham United,Premier League,78,78,77,78,
Leicester City,Premier League,78,76,79,78,
Crystal Palace,Premier League,79,77,76,77,
Bournemouth,Premier League,79,76,77,77,
Watford,Premier League,78,78,77,77,
Burnley,Premier League,77,75,77,77,
Wolverhampton Wanderers,Premier League,75,80,76,77,
Brighton & Hove Albion,Premier League,76,77,76,76,
Newcastle United,Premier League,75,77,76,76,
Southampton,Premier League,75,77,74,76,
Fulham,Premier League,78,76,73,75,
Huddersfield Town,Premier League,72,73,75,74,
Cardiff City,Premier League,73,73,72,73,
